school_year,division_number,division_name,level,test_level,pass_count,total_count,pass_rate,test_year,grade,demographic,max_grade,years_from_end,cohort,division_use,region,division,mean_rate,direction,min_rate,average,filter_out,demographic_use,level_use
2013-2014,1,Accomack County,Black,Grade 3,36,105,34.29,2014,3,Race,8,5,2019,accomack_county,Region 2 – Tidewater,Accomack County,54.915000000000006,-1,34.29,54.82,0,race,black
2013-2014,2,Albemarle County,Black,Grade 3,38,93,40.86,2014,3,Race,8,5,2019,albemarle_county,Region 5 – Valley,Albemarle County,59.81,-1,40.86,72.53,0,race,black
2013-2014,101,Alexandria City,Black,Grade 3,152,293,51.88,2014,3,Race,8,5,2019,alexandria_city,Region 4 – Northern Virginia,Alexandria City,69.65,-1,51.88,62.81,0,race,black
2013-2014,4,Amelia County,Black,Grade 3,9,27,33.33,2014,3,Race,8,5,2019,amelia_county,Region 8 – Southside,Amelia County,44.87,-1,33.33,49.11,0,race,black
2013-2014,5,Amherst County,Black,Grade 3,23,43,53.49,2014,3,Race,8,5,2019,amherst_county,Region 5 – Valley,Amherst County,62.905,-1,53.49,68.87,0,race,black
2013-2014,6,Appomattox County,Black,Grade 3,22,37,59.46,2014,3,Race,8,5,2019,appomattox_county,Region 8 – Southside,Appomattox County,64.895,-1,59.46,66.67,0,race,black
2013-2014,7,Arlington County,Black,Grade 3,92,145,63.45,2014,3,Race,8,5,2019,arlington_county,Region 4 – Northern Virginia,Arlington County,77.9,-1,63.45,82.64,0,race,black
2013-2014,10,Bedford County,Black,Grade 3,18,55,32.73,2014,3,Race,8,5,2019,bedford_county,Region 5 – Valley,Bedford County,50.495000000000005,-1,32.73,65.89,0,race,black
2013-2014,102,Bristol City,Black,Grade 3,8,14,57.14,2014,3,Race,8,5,2019,bristol_city,Region 7 – Southwest,Bristol City,63.4,-1,57.14,68.48,0,race,black
2013-2014,13,Brunswick County,Black,Grade 3,55,91,60.44,2014,3,Race,8,5,2019,brunswick_county,Region 8 – Southside,Brunswick County,64.15,-1,60.44,60.48,0,race,black
2013-2014,15,Buckingham County,Black,Grade 3,22,55,40,2014,3,Race,8,5,2019,buckingham_county,Region 8 – Southside,Buckingham County,56.71,-1,40,59.48,0,race,black
2013-2014,16,Campbell County,Black,Grade 3,42,89,47.19,2014,3,Race,8,5,2019,campbell_county,Region 5 – Valley,Campbell County,58.855,-1,47.19,65.8,0,race,black
2013-2014,17,Caroline County,Black,Grade 3,62,105,59.05,2014,3,Race,8,5,2019,caroline_county,Region 3 – Northern Neck,Caroline County,67.025,-1,59.05,69.85,0,race,black
2013-2014,19,Charles City County,Black,Grade 3,26,31,83.87,2014,3,Race,8,5,2019,charles_city_county,Region 1 – Central Virginia,Charles City County,84.435,-1,83.87,84.435,0,race,black
2013-2014,20,Charlotte County,Black,Grade 3,18,36,50,2014,3,Race,8,5,2019,charlotte_county,Region 8 – Southside,Charlotte County,62.93,-1,50,67.97,0,race,black
2013-2014,104,Charlottesville City,Black,Grade 3,58,115,50.43,2014,3,Race,8,5,2019,charlottesville_city,Region 5 – Valley,Charlottesville City,71.855,-1,50.43,73.25,0,race,black
2013-2014,136,Chesapeake City,Black,Grade 3,454,851,53.35,2014,3,Race,8,5,2019,chesapeake_city,Region 2 – Tidewater,Chesapeake City,65.6,-1,53.35,69.01,0,race,black
