School Year,Division Number,Division Name,Subject,Race,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County ,Mathematics,Hispanic,Grade 3,SOL,Mathematics,              24,              21,               1,              45,              46,    52.17,    45.65,     2.17,    97.83,  502
2005-2006,1,Accomack County ,Mathematics,Hispanic,Grade 4,SOL,Mathematics,               9,              24,               5,              33,              38,    23.68,    63.16,    13.16,    86.84,  462
2005-2006,1,Accomack County ,Mathematics,Hispanic,Grade 5,SOL,Mathematics,              18,              15,               7,              33,              40,    45.00,    37.50,    17.50,    82.50,  480
2005-2006,1,Accomack County ,Mathematics,Hispanic,Grade 6,SOL,Mathematics,               2,               6,              22,               8,              30,     6.67,    20.00,    73.33,    26.67,  368
2005-2006,1,Accomack County ,Mathematics,Hispanic,Grade 7,SOL,Mathematics,               0,              12,              25,              12,              37,      .00,    32.43,    67.57,    32.43,  362
2005-2006,1,Accomack County ,Mathematics,Hispanic,Grade 8,SOL,Mathematics,               5,              14,              12,              19,              31,    16.13,    45.16,    38.71,    61.29,  415
2005-2006,2,Albemarle County ,Mathematics,Hispanic,Grade 3,SOL,Mathematics,              10,              26,               7,              36,              43,    23.26,    60.47,    16.28,    83.72,  455
2005-2006,2,Albemarle County ,Mathematics,Hispanic,Grade 4,SOL,Mathematics,               7,              22,               9,              29,              38,    18.42,    57.89,    23.68,    76.32,  438
2005-2006,2,Albemarle County ,Mathematics,Hispanic,Grade 5,SOL,Mathematics,              19,              13,              11,              32,              43,    44.19,    30.23,    25.58,    74.42,  466
2005-2006,2,Albemarle County ,Mathematics,Hispanic,Grade 6,SOL,Mathematics,               4,              15,              24,              19,              43,     9.30,    34.88,    55.81,    44.19,  381
2005-2006,2,Albemarle County ,Mathematics,Hispanic,Grade 7,SOL,Mathematics,               1,               2,              20,               3,              23,     4.35,     8.70,    86.96,    13.04,  335
