test_year,division_name,level,rate,demographic
2006,Accomack County,hispanic,0.8847154955304558,Ethnicity
2006,Albemarle County,hispanic,0.8723417597528805,Ethnicity
2006,Alexandria City,hispanic,0.7694745318989782,Ethnicity
2006,Alleghany Highlands,hispanic,0.8147906042699417,Ethnicity
2006,Amelia County,hispanic,0.808117934111012,Ethnicity
2006,Amherst County,hispanic,0.8111297220566316,Ethnicity
2006,Appomattox County,hispanic,0.8115297528422788,Ethnicity
2006,Arlington County,hispanic,0.7248838363186995,Ethnicity
2006,Augusta County,hispanic,0.7147152814767436,Ethnicity
2006,Bath County,hispanic,0.8086633804989288,Ethnicity
2006,Bedford County,hispanic,0.8365192434395752,Ethnicity
2006,Bland County,hispanic,0.8059616530531863,Ethnicity
2006,Botetourt County,hispanic,0.8164767241829747,Ethnicity
2006,Bristol City,hispanic,0.8034957251307614,Ethnicity
2006,Brunswick County,hispanic,0.8114914087788867,Ethnicity
2006,Buchanan County,hispanic,0.8003678736593808,Ethnicity
2006,Buckingham County,hispanic,0.8088624522900189,Ethnicity
2006,Buena Vista City,hispanic,0.8106885141730445,Ethnicity
2006,Campbell County,hispanic,0.8064073860910931,Ethnicity
2006,Caroline County,hispanic,0.8227463621422082,Ethnicity
2006,Carroll County,hispanic,0.7299841054756845,Ethnicity
2006,Charles City County,hispanic,0.801191293219981,Ethnicity
2006,Charlotte County,hispanic,0.8223501054495204,Ethnicity
2006,Charlottesville City,hispanic,0.8092970683857706,Ethnicity
2006,Chesapeake City,hispanic,0.8717580065964583,Ethnicity
2006,Chesterfield County,hispanic,0.8477288871169079,Ethnicity
2006,Clarke County,hispanic,0.8287261705595476,Ethnicity
2006,Colonial Beach,hispanic,0.8014289051651842,Ethnicity
2006,Colonial Heights City,hispanic,0.8092263124805381,Ethnicity
2006,Covington City,hispanic,0.8030540809365964,Ethnicity
2006,Craig County,hispanic,0.8045743927971094,Ethnicity
2006,Culpeper County,hispanic,0.7950300081272581,Ethnicity
2006,Cumberland County,hispanic,0.8074640257964053,Ethnicity
2006,Danville City,hispanic,0.8681158886758098,Ethnicity
2006,Dickenson County,hispanic,0.8023831032574683,Ethnicity
2006,Dinwiddie County,hispanic,0.7671573453739521,Ethnicity
2006,Essex County,hispanic,0.8074150117213758,Ethnicity
2006,Fairfax County,hispanic,0.8147146839942907,Ethnicity
2006,Falls Church City,hispanic,0.8194739176834763,Ethnicity
2006,Fauquier County,hispanic,0.8287065287652194,Ethnicity
2006,Floyd County,hispanic,0.8133408817468563,Ethnicity
2006,Fluvanna County,hispanic,0.8081788003127205,Ethnicity
2006,Franklin City,hispanic,0.818024191786381,Ethnicity
2006,Franklin County,hispanic,0.7903941861661825,Ethnicity
2006,Frederick County,hispanic,0.7979697791456404,Ethnicity
2006,Fredericksburg City,hispanic,0.6751656961351149,Ethnicity
2006,Galax City,hispanic,0.6222541840898423,Ethnicity
2006,Giles County,hispanic,0.8052615795044639,Ethnicity
2006,Gloucester County,hispanic,0.8042569096133291,Ethnicity
2006,Goochland County,hispanic,0.8249363957121656,Ethnicity
2006,Grayson County,hispanic,0.7998749527911639,Ethnicity
2006,Greene County,hispanic,0.792037169161404,Ethnicity
2006,Greensville County,hispanic,0.8086728308650766,Ethnicity
2006,Halifax County,hispanic,0.8103471461637742,Ethnicity
2006,Hampton City,hispanic,0.8400808599143177,Ethnicity
2006,Hanover County,hispanic,0.8247291104557348,Ethnicity
2006,Harrisonburg City,hispanic,0.8055272193477137,Ethnicity
2006,Henrico County,hispanic,0.8262677946580327,Ethnicity
2006,Henry County,hispanic,0.679552021223941,Ethnicity
2006,Highland County,hispanic,0.807553505322309,Ethnicity
2006,Hopewell City,hispanic,0.8584756085346853,Ethnicity
2006,Isle of Wight County,hispanic,0.8168565618928461,Ethnicity
2006,King and Queen County,hispanic,0.7992050157662542,Ethnicity
2006,King George County,hispanic,0.8098642411621112,Ethnicity
2006,King William County,hispanic,0.8055843175136546,Ethnicity
2006,Lancaster County,hispanic,0.8134221813698904,Ethnicity
2006,Lee County,hispanic,0.8096599014929745,Ethnicity
2006,Lexington City,hispanic,0.8168494603491433,Ethnicity
2006,Loudoun County,hispanic,0.7518816236388612,Ethnicity
2006,Louisa County,hispanic,0.8057516855244276,Ethnicity
2006,Lunenburg County,hispanic,0.8070970993399607,Ethnicity
2006,Lynchburg City,hispanic,0.8304765319850254,Ethnicity
2006,Madison County,hispanic,0.8072303165272725,Ethnicity
2006,Manassas City,hispanic,0.7662392617200251,Ethnicity
2006,Manassas Park City,hispanic,0.8603933658466236,Ethnicity
2006,Martinsville City,hispanic,0.8171422018784367,Ethnicity
2006,Mathews County,hispanic,0.8116863024780792,Ethnicity
2006,Mecklenburg County,hispanic,0.8189072185045343,Ethnicity
2006,Middlesex County,hispanic,0.8130993590896664,Ethnicity
2006,Montgomery County,hispanic,0.8441127547519194,Ethnicity
2006,Nelson County,hispanic,0.813459027244017,Ethnicity
2006,New Kent County,hispanic,0.8106347094065522,Ethnicity
2006,Newport News City,hispanic,0.8052031303147132,Ethnicity
2006,Norfolk City,hispanic,0.8172276573885159,Ethnicity
2006,Northampton County,hispanic,0.8083593245933185,Ethnicity
2006,Northumberland County,hispanic,0.8156046206974515,Ethnicity
2006,Norton City,hispanic,0.8058332891317533,Ethnicity
2006,Nottoway County,hispanic,0.8178006906712074,Ethnicity
2006,Orange County,hispanic,0.8287496148185843,Ethnicity
2006,Page County,hispanic,0.806494066481118,Ethnicity
2006,Patrick County,hispanic,0.8103302185158036,Ethnicity
2006,Petersburg City,hispanic,0.8127862125168451,Ethnicity
2006,Pittsylvania County,hispanic,0.807780513106896,Ethnicity
2006,Poquoson City,hispanic,0.8222380407972635,Ethnicity
2006,Portsmouth City,hispanic,0.8799010115350528,Ethnicity
2006,Powhatan County,hispanic,0.8158563614303238,Ethnicity
2006,Prince Edward County,hispanic,0.81361158558821,Ethnicity
2006,Prince George County,hispanic,0.8104442383876117,Ethnicity
2006,Prince William County,hispanic,0.8018561389193207,Ethnicity
2006,Pulaski County,hispanic,0.8006827120161806,Ethnicity
2006,Radford City,hispanic,0.8110713403342614,Ethnicity
2006,Rappahannock County,hispanic,0.8072063177286213,Ethnicity
2006,Richmond City,hispanic,0.6646606532435845,Ethnicity
2006,Richmond County,hispanic,0.810070475642207,Ethnicity
2006,Roanoke City,hispanic,0.7405361944205432,Ethnicity
2006,Roanoke County,hispanic,0.8755118722588398,Ethnicity
2006,Rockbridge County,hispanic,0.802148069485748,Ethnicity
2006,Rockingham County,hispanic,0.7750713144263001,Ethnicity
2006,Russell County,hispanic,0.8034760908848045,Ethnicity
2006,Salem City,hispanic,0.8219156189027788,Ethnicity
2006,Scott County,hispanic,0.8136917229430347,Ethnicity
2006,Shenandoah County,hispanic,0.83935687035083,Ethnicity
2006,Smyth County,hispanic,0.8024857711345359,Ethnicity
2006,Southampton County,hispanic,0.8113244816924097,Ethnicity
2006,Spotsylvania County,hispanic,0.8232115563009019,Ethnicity
2006,Stafford County,hispanic,0.8042980808882232,Ethnicity
2006,Staunton City,hispanic,0.8106163220533399,Ethnicity
2006,Suffolk City,hispanic,0.8808461902388475,Ethnicity
2006,Surry County,hispanic,0.8131052007592909,Ethnicity
2006,Sussex County,hispanic,0.801770435173104,Ethnicity
2006,Tazewell County,hispanic,0.8070560170753108,Ethnicity
2006,Virginia Beach City,hispanic,0.8772740232687437,Ethnicity
2006,Warren County,hispanic,0.8156923035352345,Ethnicity
2006,Washington County,hispanic,0.804982651194413,Ethnicity
2006,Waynesboro City,hispanic,0.723491850587597,Ethnicity
2006,West Point,hispanic,0.8215188128115339,Ethnicity
2006,Westmoreland County,hispanic,0.8614713047913602,Ethnicity
2006,Williamsburg-James City County,hispanic,0.7923104215398299,Ethnicity
2006,Winchester City,hispanic,0.7457949238122549,Ethnicity
2006,Wise County,hispanic,0.8537446248487467,Ethnicity
2006,Wythe County,hispanic,0.8015090525897673,Ethnicity
2006,York County,hispanic,0.8986832824768441,Ethnicity
2007,Accomack County,hispanic,0.7840701221507733,Ethnicity
2007,Albemarle County,hispanic,0.7713113805355032,Ethnicity
2007,Alexandria City,hispanic,0.6264583296308601,Ethnicity
2007,Alleghany Highlands,hispanic,0.7702872127626521,Ethnicity
2007,Amelia County,hispanic,0.7570258094339511,Ethnicity
2007,Amherst County,hispanic,0.7410806195737707,Ethnicity
2007,Appomattox County,hispanic,0.7868568704300807,Ethnicity
2007,Arlington County,hispanic,0.6293635819169557,Ethnicity
2007,Augusta County,hispanic,0.704680291183894,Ethnicity
2007,Bath County,hispanic,0.7243330289434504,Ethnicity
2007,Bedford County,hispanic,0.7774592501315871,Ethnicity
2007,Bland County,hispanic,0.7293648722183657,Ethnicity
2007,Botetourt County,hispanic,0.7799411141563145,Ethnicity
2007,Bristol City,hispanic,0.7436346171027933,Ethnicity
2007,Brunswick County,hispanic,0.7512332084127347,Ethnicity
2007,Buchanan County,hispanic,0.718170286294973,Ethnicity
2007,Buckingham County,hispanic,0.7438040303164922,Ethnicity
2007,Buena Vista City,hispanic,0.7253554916787873,Ethnicity
2007,Campbell County,hispanic,0.7780593554129187,Ethnicity
2007,Caroline County,hispanic,0.750590402432586,Ethnicity
2007,Carroll County,hispanic,0.7066198765227784,Ethnicity
2007,Charles City County,hispanic,0.7366245187729018,Ethnicity
2007,Charlotte County,hispanic,0.7970334435711073,Ethnicity
2007,Charlottesville City,hispanic,0.823451113623863,Ethnicity
2007,Chesapeake City,hispanic,0.8606472792962124,Ethnicity
2007,Chesterfield County,hispanic,0.8048343435723506,Ethnicity
2007,Clarke County,hispanic,0.7317747363701432,Ethnicity
2007,Colonial Beach,hispanic,0.7181976486900383,Ethnicity
2007,Colonial Heights City,hispanic,0.7565601913305435,Ethnicity
2007,Covington City,hispanic,0.7136754788466356,Ethnicity
2007,Craig County,hispanic,0.7308114574714053,Ethnicity
2007,Culpeper County,hispanic,0.7348524294632164,Ethnicity
2007,Cumberland County,hispanic,0.7288427047590122,Ethnicity
2007,Danville City,hispanic,0.899021450319379,Ethnicity
2007,Dickenson County,hispanic,0.7189533937741529,Ethnicity
2007,Dinwiddie County,hispanic,0.7560331906875755,Ethnicity
2007,Essex County,hispanic,0.7427792693812068,Ethnicity
2007,Fairfax County,hispanic,0.6548633472236227,Ethnicity
2007,Falls Church City,hispanic,0.7801415574160001,Ethnicity
2007,Fauquier County,hispanic,0.7698949185616553,Ethnicity
2007,Floyd County,hispanic,0.7371713808216083,Ethnicity
2007,Fluvanna County,hispanic,0.7587679043294705,Ethnicity
2007,Franklin City,hispanic,0.7744457235884585,Ethnicity
2007,Franklin County,hispanic,0.7370472785680321,Ethnicity
2007,Frederick County,hispanic,0.6668789844295002,Ethnicity
2007,Fredericksburg City,hispanic,0.7193497441585953,Ethnicity
2007,Galax City,hispanic,0.6088474266126839,Ethnicity
2007,Giles County,hispanic,0.7219415832790282,Ethnicity
2007,Gloucester County,hispanic,0.864346881511902,Ethnicity
2007,Goochland County,hispanic,0.8112276094936949,Ethnicity
2007,Grayson County,hispanic,0.7062373826663388,Ethnicity
2007,Greene County,hispanic,0.691534843768294,Ethnicity
2007,Greensville County,hispanic,0.7440834720968963,Ethnicity
2007,Halifax County,hispanic,0.7573724539453173,Ethnicity
2007,Hampton City,hispanic,0.8381121929550966,Ethnicity
2007,Hanover County,hispanic,0.8185115654323106,Ethnicity
2007,Harrisonburg City,hispanic,0.5592390282653945,Ethnicity
2007,Henrico County,hispanic,0.8036000633589152,Ethnicity
2007,Henry County,hispanic,0.7401105743928269,Ethnicity
2007,Highland County,hispanic,0.7437907163268308,Ethnicity
2007,Hopewell City,hispanic,0.8208039707276784,Ethnicity
2007,Isle of Wight County,hispanic,0.8279640291022753,Ethnicity
2007,King and Queen County,hispanic,0.7062796831682583,Ethnicity
2007,King George County,hispanic,0.7368166770032011,Ethnicity
2007,King William County,hispanic,0.7550224887802339,Ethnicity
2007,Lancaster County,hispanic,0.7840708556625197,Ethnicity
2007,Lee County,hispanic,0.7528745236660508,Ethnicity
2007,Lexington City,hispanic,0.7781764316062889,Ethnicity
2007,Loudoun County,hispanic,0.7113726582421931,Ethnicity
2007,Louisa County,hispanic,0.728683032144885,Ethnicity
2007,Lunenburg County,hispanic,0.7430965529323453,Ethnicity
2007,Lynchburg City,hispanic,0.843128884306304,Ethnicity
2007,Madison County,hispanic,0.7352028492403163,Ethnicity
2007,Manassas City,hispanic,0.6415475825950164,Ethnicity
2007,Manassas Park City,hispanic,0.6921539278520501,Ethnicity
2007,Martinsville City,hispanic,0.7292765709191651,Ethnicity
2007,Mathews County,hispanic,0.7552592787557942,Ethnicity
2007,Mecklenburg County,hispanic,0.8040137350197103,Ethnicity
2007,Middlesex County,hispanic,0.7722666900747297,Ethnicity
2007,Montgomery County,hispanic,0.7809389238985245,Ethnicity
2007,Nelson County,hispanic,0.7589133740883732,Ethnicity
2007,New Kent County,hispanic,0.7508677369771948,Ethnicity
2007,Newport News City,hispanic,0.7933843748767355,Ethnicity
2007,Norfolk City,hispanic,0.7892130977245678,Ethnicity
2007,Northampton County,hispanic,0.7980710675459566,Ethnicity
2007,Northumberland County,hispanic,0.7549272637280454,Ethnicity
2007,Norton City,hispanic,0.7329234089283807,Ethnicity
2007,Nottoway County,hispanic,0.7671604632627129,Ethnicity
2007,Orange County,hispanic,0.7115667374936233,Ethnicity
2007,Page County,hispanic,0.7341591090029634,Ethnicity
2007,Patrick County,hispanic,0.750843382166551,Ethnicity
2007,Petersburg City,hispanic,0.7565756476606814,Ethnicity
2007,Pittsylvania County,hispanic,0.7270446931462695,Ethnicity
2007,Poquoson City,hispanic,0.8013380718286617,Ethnicity
2007,Portsmouth City,hispanic,0.8586585218852519,Ethnicity
2007,Powhatan County,hispanic,0.7725777589694892,Ethnicity
2007,Prince Edward County,hispanic,0.7777137716291856,Ethnicity
2007,Prince George County,hispanic,0.8563292945649609,Ethnicity
2007,Prince William County,hispanic,0.68692697145031,Ethnicity
2007,Pulaski County,hispanic,0.7015085718867262,Ethnicity
2007,Radford City,hispanic,0.750454615884689,Ethnicity
2007,Rappahannock County,hispanic,0.7403280676314586,Ethnicity
2007,Richmond City,hispanic,0.7577924508103834,Ethnicity
2007,Richmond County,hispanic,0.7378623535256003,Ethnicity
2007,Roanoke City,hispanic,0.5860295846667042,Ethnicity
2007,Roanoke County,hispanic,0.7679418543512347,Ethnicity
2007,Rockbridge County,hispanic,0.6968360811419682,Ethnicity
2007,Rockingham County,hispanic,0.7173356676041149,Ethnicity
2007,Russell County,hispanic,0.7331159977601663,Ethnicity
2007,Salem City,hispanic,0.791995114635888,Ethnicity
2007,Scott County,hispanic,0.7605407752876345,Ethnicity
2007,Shenandoah County,hispanic,0.6719721418451624,Ethnicity
2007,Smyth County,hispanic,0.6855191018681365,Ethnicity
2007,Southampton County,hispanic,0.737094359239495,Ethnicity
2007,Spotsylvania County,hispanic,0.7680489604586643,Ethnicity
2007,Stafford County,hispanic,0.7591523951550515,Ethnicity
