School Year,Division Number,Division Name,Subject,Race,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,              10,              17,               2,              27,              29,    34.48,    58.62,     6.90,    93.10,  480
2005-2006,1,Accomack County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,              12,              16,               3,              28,              31,    38.71,    51.61,     9.68,    90.32,  480
2005-2006,1,Accomack County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,               6,              19,               1,              25,              26,    23.08,    73.08,     3.85,    96.15,  477
2005-2006,1,Accomack County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,               4,              12,               3,              16,              19,    21.05,    63.16,    15.79,    84.21,  448
2005-2006,1,Accomack County ,English:Reading,Hispanic,Grade 7,SOL,English Reading,               4,              20,               3,              24,              27,    14.81,    74.07,    11.11,    88.89,  452
2005-2006,1,Accomack County ,English:Reading,Hispanic,Grade 8,SOL,English Reading,               0,              14,               2,              14,              16,      .00,    87.50,    12.50,    87.50,  427
2005-2006,2,Albemarle County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,               6,              21,               6,              27,              33,    18.18,    63.64,    18.18,    81.82,  448
2005-2006,2,Albemarle County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,              13,              20,               0,              33,              33,    39.39,    60.61,      .00,100.00,  479
2005-2006,2,Albemarle County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,              17,              20,               2,              37,              39,    43.59,    51.28,     5.13,    94.87,  481
2005-2006,2,Albemarle County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,              11,              20,               7,              31,              38,    28.95,    52.63,    18.42,    81.58,  465
2005-2006,2,Albemarle County ,English:Reading,Hispanic,Grade 7,SOL,English Reading,               8,              15,               4,              23,              27,    29.63,    55.56,    14.81,    85.19,  460
2005-2006,2,Albemarle County ,English:Reading,Hispanic,Grade 8,SOL,English Reading,               7,              17,               4,              24,              28,    25.00,    60.71,    14.29,    85.71,  454
2005-2006,101,Alexandria City ,English:Reading,Hispanic,Grade 3,SOL,English Reading,              33,              82,              39,             115,             154,    21.43,    53.25,    25.32,    74.68,  442
2005-2006,101,Alexandria City ,English:Reading,Hispanic,Grade 4,SOL,English Reading,              34,             103,              32,             137,             169,    20.12,    60.95,    18.93,    81.07,  447
2005-2006,101,Alexandria City ,English:Reading,Hispanic,Grade 5,SOL,English Reading,              57,              78,              15,             135,             150,    38.00,    52.00,    10.00,    90.00,  468
2005-2006,101,Alexandria City ,English:Reading,Hispanic,Grade 6,SOL,English Reading,              40,              80,              27,             120,             147,    27.21,    54.42,    18.37,    81.63,  457
2005-2006,101,Alexandria City ,English:Reading,Hispanic,Grade 7,SOL,English Reading,              27,              85,              49,             112,             161,    16.77,    52.80,    30.43,    69.57,  428
2005-2006,101,Alexandria City ,English:Reading,Hispanic,Grade 8,SOL,English Reading,              25,              76,              56,             101,             157,    15.92,    48.41,    35.67,    64.33,  420
2005-2006,3,Alleghany County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,3,Alleghany County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,3,Alleghany County ,English:Reading,Hispanic,Grade 7,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,4,Amelia County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,4,Amelia County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,4,Amelia County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,4,Amelia County ,English:Reading,Hispanic,Grade 8,SOL,English Reading,<,<,<,<,<,<,<,>50,<50,
2005-2006,5,Amherst County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,  522
2005-2006,5,Amherst County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,  491
2005-2006,5,Amherst County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,  504
2005-2006,5,Amherst County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,<,<,<,<,<,<,<,>50,<50,
2005-2006,5,Amherst County ,English:Reading,Hispanic,Grade 7,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,5,Amherst County ,English:Reading,Hispanic,Grade 8,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,6,Appomattox County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,6,Appomattox County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,6,Appomattox County ,English:Reading,Hispanic,Grade 8,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,7,Arlington County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,              55,             138,              65,             193,             258,    21.32,    53.49,    25.19,    74.81,  440
2005-2006,7,Arlington County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,              61,             162,              47,             223,             270,    22.59,    60.00,    17.41,    82.59,  449
2005-2006,7,Arlington County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,              82,             167,              68,             249,             317,    25.87,    52.68,    21.45,    78.55,  452
2005-2006,7,Arlington County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,              68,             157,              81,             225,             306,    22.22,    51.31,    26.47,    73.53,  441
2005-2006,7,Arlington County ,English:Reading,Hispanic,Grade 7,SOL,English Reading,              47,             138,              92,             185,             277,    16.97,    49.82,    33.21,    66.79,  429
2005-2006,7,Arlington County ,English:Reading,Hispanic,Grade 8,SOL,English Reading,              19,             148,             123,             167,             290,     6.55,    51.03,    42.41,    57.59,  410
2005-2006,8,Augusta County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,               5,               8,               1,              13,              14,    35.71,    57.14,     7.14,    92.86,  466
2005-2006,8,Augusta County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,               2,               6,               6,               8,              14,    14.29,    42.86,    42.86,    57.14,  422
2005-2006,8,Augusta County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,               1,               6,               5,               7,              12,     8.33,    50.00,    41.67,    58.33,  428
2005-2006,8,Augusta County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,               4,              12,               6,              16,              22,    18.18,    54.55,    27.27,    72.73,  450
2005-2006,8,Augusta County ,English:Reading,Hispanic,Grade 7,SOL,English Reading,               4,               7,               5,              11,              16,    25.00,    43.75,    31.25,    68.75,  451
2005-2006,8,Augusta County ,English:Reading,Hispanic,Grade 8,SOL,English Reading,               2,              11,               8,              13,              21,     9.52,    52.38,    38.10,    61.90,  428
2005-2006,9,Bath County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,
2005-2006,10,Bedford County ,English:Reading,Hispanic,Grade 3,SOL,English Reading,               6,               6,               3,              12,              15,    40.00,    40.00,    20.00,    80.00,  467
2005-2006,10,Bedford County ,English:Reading,Hispanic,Grade 4,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,  513
2005-2006,10,Bedford County ,English:Reading,Hispanic,Grade 5,SOL,English Reading,               4,               6,               0,              10,              10,    40.00,    60.00,      .00,100.00,  462
2005-2006,10,Bedford County ,English:Reading,Hispanic,Grade 6,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,  501
2005-2006,10,Bedford County ,English:Reading,Hispanic,Grade 7,SOL,English Reading,<,<,<,<,<,<,<,<50,>50,  473
