test_year,division_name,level,rate,demographic
2006,Accomack County,black,0.5988476392439531,Race
2006,Albemarle County,black,0.5193072841512615,Race
2006,Alexandria City,black,0.5407796532990894,Race
2006,Alleghany County,black,0.6898485429042369,Race
2006,Amelia County,black,0.5429806439757938,Race
2006,Amherst County,black,0.5597987644029149,Race
2006,Appomattox County,black,0.6197290406198925,Race
2006,Arlington County,black,0.526588204798942,Race
2006,Augusta County,black,0.5539403806898459,Race
2006,Bath County,black,0.5711500777495551,Race
2006,Bedford County,black,0.5269657831909298,Race
2006,Bland County,black,0.5411597933469148,Race
2006,Botetourt County,black,0.6403844247418432,Race
2006,Bristol City,black,0.5426997395162009,Race
2006,Brunswick County,black,0.5785648924180036,Race
2006,Buchanan County,black,0.5326605882120882,Race
2006,Buckingham County,black,0.5915477730595977,Race
2006,Buena Vista City,black,0.5551999739879198,Race
2006,Campbell County,black,0.5786504804810365,Race
2006,Caroline County,black,0.5697169669456528,Race
2006,Carroll County,black,0.5295076922186164,Race
2006,Charles City County,black,0.49505112735415724,Race
2006,Charlotte County,black,0.6910376649684906,Race
2006,Charlottesville City,black,0.4427885768598285,Race
2006,Chesapeake City,black,0.6726688786244241,Race
2006,Chesterfield County,black,0.6142821287118148,Race
2006,Clarke County,black,0.6037453731453879,Race
2006,Colonial Beach,black,0.5445193642198891,Race
2006,Colonial Heights City,black,0.6089976624096126,Race
2006,Covington City,black,0.5780846465189783,Race
2006,Craig County,black,0.4918774684437697,Race
2006,Culpeper County,black,0.525204152599247,Race
2006,Cumberland County,black,0.6109086222600039,Race
2006,Danville City,black,0.5440155693949109,Race
2006,Dickenson County,black,0.5323359667759179,Race
2006,Dinwiddie County,black,0.668737335304179,Race
2006,Essex County,black,0.4734089471870268,Race
2006,Fairfax County,black,0.5814972972617309,Race
2006,Falls Church City,black,0.6034879055188351,Race
2006,Fauquier County,black,0.4696393528654352,Race
2006,Floyd County,black,0.5756925860985513,Race
2006,Fluvanna County,black,0.5357900573492355,Race
2006,Franklin City,black,0.531239304157196,Race
2006,Franklin County,black,0.6919300763243545,Race
2006,Frederick County,black,0.5571577909869361,Race
2006,Fredericksburg City,black,0.44921691376019374,Race
2006,Galax City,black,0.6384161186962942,Race
2006,Giles County,black,0.5387313114192561,Race
2006,Gloucester County,black,0.5565921614839677,Race
2006,Goochland County,black,0.7159007679380134,Race
2006,Grayson County,black,0.5122405997150187,Race
2006,Greene County,black,0.4243687207161812,Race
2006,Greensville County,black,0.4963330131255484,Race
2006,Halifax County,black,0.5545598798728619,Race
2006,Hampton City,black,0.5315780786726026,Race
