School Year,Division Number,Division Name,Subject,English Learners,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County,Mathematics,N,Grade 3,SOL,Mathematics,129,120,17,249,266,48.5,45.11,6.39,93.61,493
2005-2006,1,Accomack County,Mathematics,N,Grade 4,SOL,Mathematics,95,156,51,251,302,31.46,51.66,16.89,83.11,465
2005-2006,1,Accomack County,Mathematics,N,Grade 5,SOL,Mathematics,139,108,50,247,297,46.8,36.36,16.84,83.16,484
2005-2006,1,Accomack County,Mathematics,N,Grade 6,SOL,Mathematics,42,124,132,166,298,14.09,41.61,44.3,55.7,410
2005-2006,1,Accomack County,Mathematics,N,Grade 7,SOL,Mathematics,49,122,181,171,352,13.92,34.66,51.42,48.58,401
2005-2006,1,Accomack County,Mathematics,N,Grade 8,SOL,Mathematics,108,166,101,274,375,28.8,44.27,26.93,73.07,447
2005-2006,1,Accomack County,Mathematics,Y,Grade 3,SOL,Mathematics,20,22,1,42,43,46.51,51.16,2.33,97.67,497
2005-2006,1,Accomack County,Mathematics,Y,Grade 4,SOL,Mathematics,5,22,4,27,31,16.13,70.97,12.9,87.1,456
2005-2006,1,Accomack County,Mathematics,Y,Grade 5,SOL,Mathematics,16,13,6,29,35,45.71,37.14,17.14,82.86,485
2005-2006,1,Accomack County,Mathematics,Y,Grade 6,SOL,Mathematics,0,3,21,3,24,0,12.5,87.5,12.5,349
2005-2006,1,Accomack County,Mathematics,Y,Grade 7,SOL,Mathematics,0,8,21,8,29,0,27.59,72.41,27.59,355
2005-2006,1,Accomack County,Mathematics,Y,Grade 8,SOL,Mathematics,3,12,11,15,26,11.54,46.15,42.31,57.69,407
2005-2006,2,Albemarle County,Mathematics,N,Grade 3,SOL,Mathematics,454,241,69,695,764,59.42,31.54,9.03,90.97,506
2005-2006,2,Albemarle County,Mathematics,N,Grade 4,SOL,Mathematics,327,332,117,659,776,42.14,42.78,15.08,84.92,476
2005-2006,2,Albemarle County,Mathematics,N,Grade 5,SOL,Mathematics,422,248,115,670,785,53.76,31.59,14.65,85.35,496
2005-2006,2,Albemarle County,Mathematics,N,Grade 6,SOL,Mathematics,143,283,297,426,723,19.78,39.14,41.08,58.92,416
2005-2006,2,Albemarle County,Mathematics,N,Grade 7,SOL,Mathematics,19,123,293,142,435,4.37,28.28,67.36,32.64,367
2005-2006,2,Albemarle County,Mathematics,N,Grade 8,SOL,Mathematics,822,487,146,"1,309","1,455",56.49,33.47,10.03,89.97,499
2005-2006,2,Albemarle County,Mathematics,Y,Grade 3,SOL,Mathematics,25,34,8,59,67,37.31,50.75,11.94,88.06,475
2005-2006,2,Albemarle County,Mathematics,Y,Grade 4,SOL,Mathematics,21,23,12,44,56,37.5,41.07,21.43,78.57,468
2005-2006,2,Albemarle County,Mathematics,Y,Grade 5,SOL,Mathematics,21,17,15,38,53,39.62,32.08,28.3,71.7,460
2005-2006,2,Albemarle County,Mathematics,Y,Grade 6,SOL,Mathematics,6,11,21,17,38,15.79,28.95,55.26,44.74,392
2005-2006,2,Albemarle County,Mathematics,Y,Grade 7,SOL,Mathematics,0,5,24,5,29,0,17.24,82.76,17.24,335
2005-2006,2,Albemarle County,Mathematics,Y,Grade 8,SOL,Mathematics,21,19,5,40,45,46.67,42.22,11.11,88.89,494
2005-2006,101,Alexandria City,Mathematics,N,Grade 3,SOL,Mathematics,257,182,56,439,495,51.92,36.77,11.31,88.69,494
2005-2006,101,Alexandria City,Mathematics,N,Grade 4,SOL,Mathematics,160,222,141,382,523,30.59,42.45,26.96,73.04,448
2005-2006,101,Alexandria City,Mathematics,N,Grade 5,SOL,Mathematics,260,191,101,451,552,47.1,34.6,18.3,81.7,480
2005-2006,101,Alexandria City,Mathematics,N,Grade 6,SOL,Mathematics,23,147,274,170,444,5.18,33.11,61.71,38.29,376
2005-2006,101,Alexandria City,Mathematics,N,Grade 7,SOL,Mathematics,35,135,337,170,507,6.9,26.63,66.47,33.53,369
2005-2006,101,Alexandria City,Mathematics,N,Grade 8,SOL,Mathematics,145,190,193,335,528,27.46,35.98,36.55,63.45,430
2005-2006,101,Alexandria City,Mathematics,Y,Grade 3,SOL,Mathematics,70,103,28,173,201,34.83,51.24,13.93,86.07,466
2005-2006,101,Alexandria City,Mathematics,Y,Grade 4,SOL,Mathematics,21,72,37,93,130,16.15,55.38,28.46,71.54,430
2005-2006,101,Alexandria City,Mathematics,Y,Grade 5,SOL,Mathematics,34,51,32,85,117,29.06,43.59,27.35,72.65,449
2005-2006,101,Alexandria City,Mathematics,Y,Grade 6,SOL,Mathematics,2,11,77,13,90,2.22,12.22,85.56,14.44,332
2005-2006,101,Alexandria City,Mathematics,Y,Grade 7,SOL,Mathematics,0,17,60,17,77,0,22.08,77.92,22.08,324
2005-2006,101,Alexandria City,Mathematics,Y,Grade 8,SOL,Mathematics,5,29,46,34,80,6.25,36.25,57.5,42.5,364
2005-2006,3,Alleghany County,Mathematics,N,Grade 3,SOL,Mathematics,118,99,8,217,225,52.44,44,3.56,96.44,501
2005-2006,3,Alleghany County,Mathematics,N,Grade 4,SOL,Mathematics,65,103,30,168,198,32.83,52.02,15.15,84.85,466
2005-2006,3,Alleghany County,Mathematics,N,Grade 5,SOL,Mathematics,126,76,27,202,229,55.02,33.19,11.79,88.21,500
2005-2006,3,Alleghany County,Mathematics,N,Grade 6,SOL,Mathematics,35,82,82,117,199,17.59,41.21,41.21,58.79,424
2005-2006,3,Alleghany County,Mathematics,N,Grade 7,SOL,Mathematics,5,43,82,48,130,3.85,33.08,63.08,36.92,378
2005-2006,3,Alleghany County,Mathematics,N,Grade 8,SOL,Mathematics,67,82,38,149,187,35.83,43.85,20.32,79.68,463
2005-2006,3,Alleghany County,Mathematics,Y,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,3,Alleghany County,Mathematics,Y,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,4,Amelia County,Mathematics,N,Grade 3,SOL,Mathematics,66,48,11,114,125,52.8,38.4,8.8,91.2,495
2005-2006,4,Amelia County,Mathematics,N,Grade 4,SOL,Mathematics,35,50,19,85,104,33.65,48.08,18.27,81.73,461
2005-2006,4,Amelia County,Mathematics,N,Grade 5,SOL,Mathematics,46,46,9,92,101,45.54,45.54,8.91,91.09,487
2005-2006,4,Amelia County,Mathematics,N,Grade 6,SOL,Mathematics,9,37,91,46,137,6.57,27.01,66.42,33.58,361
2005-2006,4,Amelia County,Mathematics,N,Grade 7,SOL,Mathematics,0,14,60,14,74,0,18.92,81.08,18.92,333
2005-2006,4,Amelia County,Mathematics,N,Grade 8,SOL,Mathematics,36,52,23,88,111,32.43,46.85,20.72,79.28,455
2005-2006,4,Amelia County,Mathematics,Y,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,4,Amelia County,Mathematics,Y,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,4,Amelia County,Mathematics,Y,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,5,Amherst County,Mathematics,N,Grade 3,SOL,Mathematics,156,125,41,281,322,48.45,38.82,12.73,87.27,482
2005-2006,5,Amherst County,Mathematics,N,Grade 4,SOL,Mathematics,88,150,83,238,321,27.41,46.73,25.86,74.14,449
2005-2006,5,Amherst County,Mathematics,N,Grade 5,SOL,Mathematics,214,96,44,310,354,60.45,27.12,12.43,87.57,504
2005-2006,5,Amherst County,Mathematics,N,Grade 6,SOL,Mathematics,10,74,182,84,266,3.76,27.82,68.42,31.58,366
2005-2006,5,Amherst County,Mathematics,N,Grade 7,SOL,Mathematics,36,121,198,157,355,10.14,34.08,55.77,44.23,390
2005-2006,5,Amherst County,Mathematics,N,Grade 8,SOL,Mathematics,119,162,90,281,371,32.08,43.67,24.26,75.74,453
2005-2006,5,Amherst County,Mathematics,Y,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,497
2005-2006,6,Appomattox County,Mathematics,N,Grade 3,SOL,Mathematics,105,58,4,163,167,62.87,34.73,2.4,97.6,513
2005-2006,6,Appomattox County,Mathematics,N,Grade 4,SOL,Mathematics,90,71,8,161,169,53.25,42.01,4.73,95.27,500
2005-2006,6,Appomattox County,Mathematics,N,Grade 5,SOL,Mathematics,93,47,5,140,145,64.14,32.41,3.45,96.55,521
2005-2006,6,Appomattox County,Mathematics,N,Grade 6,SOL,Mathematics,15,52,82,67,149,10.07,34.9,55.03,44.97,393
2005-2006,6,Appomattox County,Mathematics,N,Grade 7,SOL,Mathematics,3,28,97,31,128,2.34,21.88,75.78,24.22,354
2005-2006,6,Appomattox County,Mathematics,N,Grade 8,SOL,Mathematics,52,78,33,130,163,31.9,47.85,20.25,79.75,463
2005-2006,6,Appomattox County,Mathematics,Y,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,7,Arlington County,Mathematics,N,Grade 3,SOL,Mathematics,629,211,34,840,874,71.97,24.14,3.89,96.11,528
2005-2006,7,Arlington County,Mathematics,N,Grade 4,SOL,Mathematics,436,294,114,730,844,51.66,34.83,13.51,86.49,494
2005-2006,7,Arlington County,Mathematics,N,Grade 5,SOL,Mathematics,499,205,67,704,771,64.72,26.59,8.69,91.31,519
2005-2006,7,Arlington County,Mathematics,N,Grade 6,SOL,Mathematics,13,129,230,142,372,3.49,34.68,61.83,38.17,378
2005-2006,7,Arlington County,Mathematics,N,Grade 7,SOL,Mathematics,159,276,312,435,747,21.29,36.95,41.77,58.23,417
