School Year,Division Number,Division Name,Subject,Race,Gender,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",F,Grade 3,SOL,Mathematics,14,27,7,41,48,29.17,56.25,14.58,85.42,459
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",F,Grade 4,SOL,Mathematics,12,37,17,49,66,18.18,56.06,25.76,74.24,435
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",F,Grade 5,SOL,Mathematics,26,32,23,58,81,32.1,39.51,28.4,71.6,451
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",F,Grade 6,SOL,Mathematics,3,23,36,26,62,4.84,37.1,58.06,41.94,381
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",F,Grade 7,SOL,Mathematics,3,22,59,25,84,3.57,26.19,70.24,29.76,368
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",F,Grade 8,SOL,Mathematics,18,45,33,63,96,18.75,46.88,34.38,65.63,423
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",M,Grade 3,SOL,Mathematics,21,36,4,57,61,34.43,59.02,6.56,93.44,471
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",M,Grade 4,SOL,Mathematics,13,39,15,52,67,19.4,58.21,22.39,77.61,447
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",M,Grade 5,SOL,Mathematics,22,24,15,46,61,36.07,39.34,24.59,75.41,458
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",M,Grade 6,SOL,Mathematics,2,27,41,29,70,2.86,38.57,58.57,41.43,378
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",M,Grade 7,SOL,Mathematics,4,26,62,30,92,4.35,28.26,67.39,32.61,364
2005-2006,1,Accomack County ,Mathematics,"Black, not of Hispanic origin",M,Grade 8,SOL,Mathematics,8,34,34,42,76,10.53,44.74,44.74,55.26,403
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",F,Grade 3,SOL,Mathematics,12,22,12,34,46,26.09,47.83,26.09,73.91,442
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",F,Grade 4,SOL,Mathematics,7,25,21,32,53,13.21,47.17,39.62,60.38,412
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",F,Grade 5,SOL,Mathematics,15,18,16,33,49,30.61,36.73,32.65,67.35,435
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",F,Grade 6,SOL,Mathematics,3,19,38,22,60,5,31.67,63.33,36.67,371
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",F,Grade 7,SOL,Mathematics,0,13,39,13,52,0,25,75,25,345
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",F,Grade 8,SOL,Mathematics,20,41,23,61,84,23.81,48.81,27.38,72.62,444
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",M,Grade 3,SOL,Mathematics,11,19,7,30,37,29.73,51.35,18.92,81.08,451
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",M,Grade 4,SOL,Mathematics,2,18,23,20,43,4.65,41.86,53.49,46.51,393
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",M,Grade 5,SOL,Mathematics,10,24,27,34,61,16.39,39.34,44.26,55.74,407
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",M,Grade 6,SOL,Mathematics,1,12,42,13,55,1.82,21.82,76.36,23.64,342
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",M,Grade 7,SOL,Mathematics,1,8,42,9,51,1.96,15.69,82.35,17.65,332
2005-2006,2,Albemarle County ,Mathematics,"Black, not of Hispanic origin",M,Grade 8,SOL,Mathematics,12,23,29,35,64,18.75,35.94,45.31,54.69,418
2005-2006,101,Alexandria City ,Mathematics,"Black, not of Hispanic origin",F,Grade 3,SOL,Mathematics,52,79,21,131,152,34.21,51.97,13.82,86.18,470
2005-2006,101,Alexandria City ,Mathematics,"Black, not of Hispanic origin",F,Grade 4,SOL,Mathematics,19,75,55,94,149,12.75,50.34,36.91,63.09,416
2005-2006,101,Alexandria City ,Mathematics,"Black, not of Hispanic origin",F,Grade 5,SOL,Mathematics,52,60,37,112,149,34.9,40.27,24.83,75.17,457
