School Year,Division Number,Division Name,Subject,Gender,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County ,Mathematics,F,Grade 3,SOL,Mathematics,78,61,11,139,150,52,40.67,7.33,92.67,499
2005-2006,1,Accomack County ,Mathematics,F,Grade 4,SOL,Mathematics,41,76,30,117,147,27.89,51.7,20.41,79.59,456
2005-2006,1,Accomack County ,Mathematics,F,Grade 5,SOL,Mathematics,81,62,32,143,175,46.29,35.43,18.29,81.71,484
2005-2006,1,Accomack County ,Mathematics,F,Grade 6,SOL,Mathematics,13,66,69,79,148,8.78,44.59,46.62,53.38,401
2005-2006,1,Accomack County ,Mathematics,F,Grade 7,SOL,Mathematics,23,61,102,84,186,12.37,32.8,54.84,45.16,397
2005-2006,1,Accomack County ,Mathematics,F,Grade 8,SOL,Mathematics,59,96,46,155,201,29.35,47.76,22.89,77.11,452
2005-2006,1,Accomack County ,Mathematics,M,Grade 3,SOL,Mathematics,71,81,6,152,158,44.94,51.27,3.8,96.2,490
2005-2006,1,Accomack County ,Mathematics,M,Grade 4,SOL,Mathematics,63,103,24,166,190,33.16,54.21,12.63,87.37,473
2005-2006,1,Accomack County ,Mathematics,M,Grade 5,SOL,Mathematics,76,58,24,134,158,48.1,36.71,15.19,84.81,485
2005-2006,1,Accomack County ,Mathematics,M,Grade 6,SOL,Mathematics,30,62,84,92,176,17.05,35.23,47.73,52.27,410
2005-2006,1,Accomack County ,Mathematics,M,Grade 7,SOL,Mathematics,26,70,101,96,197,13.2,35.53,51.27,48.73,398
2005-2006,1,Accomack County ,Mathematics,M,Grade 8,SOL,Mathematics,53,82,66,135,201,26.37,40.8,32.84,67.16,438
2005-2006,2,Albemarle County ,Mathematics,F,Grade 3,SOL,Mathematics,235,138,48,373,421,55.82,32.78,11.4,88.6,499
2005-2006,2,Albemarle County ,Mathematics,F,Grade 4,SOL,Mathematics,172,189,66,361,427,40.28,44.26,15.46,84.54,474
2005-2006,2,Albemarle County ,Mathematics,F,Grade 5,SOL,Mathematics,218,138,56,356,412,52.91,33.5,13.59,86.41,495
2005-2006,2,Albemarle County ,Mathematics,F,Grade 6,SOL,Mathematics,66,151,156,217,373,17.69,40.48,41.82,58.18,414
2005-2006,2,Albemarle County ,Mathematics,F,Grade 7,SOL,Mathematics,11,64,154,75,229,4.8,27.95,67.25,32.75,371
2005-2006,2,Albemarle County ,Mathematics,F,Grade 8,SOL,Mathematics,403,269,67,672,739,54.53,36.4,9.07,90.93,498
2005-2006,2,Albemarle County ,Mathematics,M,Grade 3,SOL,Mathematics,258,137,29,395,424,60.85,32.31,6.84,93.16,511
2005-2006,2,Albemarle County ,Mathematics,M,Grade 4,SOL,Mathematics,186,175,63,361,424,43.87,41.27,14.86,85.14,478
2005-2006,2,Albemarle County ,Mathematics,M,Grade 5,SOL,Mathematics,241,128,74,369,443,54.4,28.89,16.7,83.3,495
2005-2006,2,Albemarle County ,Mathematics,M,Grade 6,SOL,Mathematics,84,145,163,229,392,21.43,36.99,41.58,58.42,416
2005-2006,2,Albemarle County ,Mathematics,M,Grade 7,SOL,Mathematics,8,65,166,73,239,3.35,27.2,69.46,30.54,359
2005-2006,2,Albemarle County ,Mathematics,M,Grade 8,SOL,Mathematics,442,240,84,682,766,57.7,31.33,10.97,89.03,500
2005-2006,101,Alexandria City ,Mathematics,F,Grade 3,SOL,Mathematics,187,162,37,349,386,48.45,41.97,9.59,90.41,489
2005-2006,101,Alexandria City ,Mathematics,F,Grade 4,SOL,Mathematics,91,170,91,261,352,25.85,48.3,25.85,74.15,444
2005-2006,101,Alexandria City ,Mathematics,F,Grade 5,SOL,Mathematics,154,122,61,276,337,45.7,36.2,18.1,81.9,480
2005-2006,101,Alexandria City ,Mathematics,F,Grade 6,SOL,Mathematics,14,91,183,105,288,4.86,31.6,63.54,36.46,371
2005-2006,101,Alexandria City ,Mathematics,F,Grade 7,SOL,Mathematics,22,73,215,95,310,7.1,23.55,69.35,30.65,365
2005-2006,101,Alexandria City ,Mathematics,F,Grade 8,SOL,Mathematics,75,122,109,197,306,24.51,39.87,35.62,64.38,428
2005-2006,101,Alexandria City ,Mathematics,M,Grade 3,SOL,Mathematics,175,158,52,333,385,45.45,41.04,13.51,86.49,484
2005-2006,101,Alexandria City ,Mathematics,M,Grade 4,SOL,Mathematics,116,180,97,296,393,29.52,45.8,24.68,75.32,448
2005-2006,101,Alexandria City ,Mathematics,M,Grade 5,SOL,Mathematics,164,139,83,303,386,42.49,36.01,21.5,78.5,469
2005-2006,101,Alexandria City ,Mathematics,M,Grade 6,SOL,Mathematics,13,82,196,95,291,4.47,28.18,67.35,32.65,368
2005-2006,101,Alexandria City ,Mathematics,M,Grade 7,SOL,Mathematics,13,88,214,101,315,4.13,27.94,67.94,32.06,358
2005-2006,101,Alexandria City ,Mathematics,M,Grade 8,SOL,Mathematics,79,108,139,187,326,24.23,33.13,42.64,57.36,416
2005-2006,3,Alleghany County ,Mathematics,F,Grade 3,SOL,Mathematics,51,49,7,100,107,47.66,45.79,6.54,93.46,490
2005-2006,3,Alleghany County ,Mathematics,F,Grade 4,SOL,Mathematics,34,53,18,87,105,32.38,50.48,17.14,82.86,464
2005-2006,3,Alleghany County ,Mathematics,F,Grade 5,SOL,Mathematics,66,40,16,106,122,54.1,32.79,13.11,86.89,497
2005-2006,3,Alleghany County ,Mathematics,F,Grade 6,SOL,Mathematics,13,42,47,55,102,12.75,41.18,46.08,53.92,412
2005-2006,3,Alleghany County ,Mathematics,F,Grade 7,SOL,Mathematics,3,19,42,22,64,4.69,29.69,65.63,34.38,379
2005-2006,3,Alleghany County ,Mathematics,F,Grade 8,SOL,Mathematics,29,44,18,73,91,31.87,48.35,19.78,80.22,460
2005-2006,3,Alleghany County ,Mathematics,M,Grade 3,SOL,Mathematics,67,50,1,117,118,56.78,42.37,0.85,99.15,511
