School Year,Division Number,Division Name,Subject,Race,Gender,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County ,Mathematics,Hispanic,F,Grade 3,SOL,Mathematics,13,10,1,23,24,54.17,41.67,4.17,95.83,506
2005-2006,1,Accomack County ,Mathematics,Hispanic,F,Grade 4,SOL,Mathematics,3,5,3,8,11,27.27,45.45,27.27,72.73,445
2005-2006,1,Accomack County ,Mathematics,Hispanic,F,Grade 5,SOL,Mathematics,9,7,5,16,21,42.86,33.33,23.81,76.19,481
2005-2006,1,Accomack County ,Mathematics,Hispanic,F,Grade 6,SOL,Mathematics,<,<,<,<,10,<,<,>50,<50,373
2005-2006,1,Accomack County ,Mathematics,Hispanic,F,Grade 7,SOL,Mathematics,0,8,13,8,21,0,38.1,61.9,38.1,369
2005-2006,1,Accomack County ,Mathematics,Hispanic,F,Grade 8,SOL,Mathematics,3,8,5,11,16,18.75,50,31.25,68.75,425
2005-2006,1,Accomack County ,Mathematics,Hispanic,M,Grade 3,SOL,Mathematics,11,11,0,22,22,50,50,0,100,498
2005-2006,1,Accomack County ,Mathematics,Hispanic,M,Grade 4,SOL,Mathematics,6,19,1,25,26,23.08,73.08,3.85,96.15,472
2005-2006,1,Accomack County ,Mathematics,Hispanic,M,Grade 5,SOL,Mathematics,9,7,2,16,18,50,38.89,11.11,88.89,482
2005-2006,1,Accomack County ,Mathematics,Hispanic,M,Grade 6,SOL,Mathematics,<,<,<,<,20,<,<,>50,<50,366
2005-2006,1,Accomack County ,Mathematics,Hispanic,M,Grade 7,SOL,Mathematics,<,<,<,<,16,<,<,>50,<50,353
2005-2006,1,Accomack County ,Mathematics,Hispanic,M,Grade 8,SOL,Mathematics,2,6,7,8,15,13.33,40,46.67,53.33,404
2005-2006,2,Albemarle County ,Mathematics,Hispanic,F,Grade 3,SOL,Mathematics,7,19,2,26,28,25,67.86,7.14,92.86,468
2005-2006,2,Albemarle County ,Mathematics,Hispanic,F,Grade 4,SOL,Mathematics,5,14,3,19,22,22.73,63.64,13.64,86.36,457
2005-2006,2,Albemarle County ,Mathematics,Hispanic,F,Grade 5,SOL,Mathematics,6,7,7,13,20,30,35,35,65,442
2005-2006,2,Albemarle County ,Mathematics,Hispanic,F,Grade 6,SOL,Mathematics,1,11,7,12,19,5.26,57.89,36.84,63.16,394
2005-2006,2,Albemarle County ,Mathematics,Hispanic,F,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,351
