"School Year","Division Number","Division Name","Subject","Race","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","11","65","39","76","115","9.57","56.52","33.91","66.09","407"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","14","66","42","80","122","11.48","54.10","34.43","65.57","412"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","9","86","36","95","131","6.87","65.65","27.48","72.52","422"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","14","76","23","90","113","12.39","67.26","20.35","79.65","430"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","10","88","23","98","121","8.26","72.73","19.01","80.99","424"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","13","105","24","118","142","9.15","73.94","16.90","83.10","441"
"2021-2022","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","104","356","134","460","594","17.51","59.93","22.56","77.44","437"
"2021-2022","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","157","344","102","501","603","26.04","57.05","16.92","83.08","450"
"2021-2022","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","77","376","94","453","547","14.08","68.74","17.18","82.82","439"
"2021-2022","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","152","348","82","500","582","26.12","59.79","14.09","85.91","458"
"2021-2022","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","154","387","90","541","631","24.41","61.33","14.26","85.74","456"
"2021-2022","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","159","370","101","529","630","25.24","58.73","16.03","83.97","451"
"2021-2022","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","83","247","56","330","386","21.50","63.99","14.51","85.49","452"
"2021-2022","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","79","196","49","275","324","24.38","60.49","15.12","84.88","453"
"2021-2022","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","75","184","33","259","292","25.68","63.01","11.30","88.70","460"
"2021-2022","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","75","116","41","191","232","32.33","50.00","17.67","82.33","452"
"2021-2022","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","87","156","20","243","263","33.08","59.32","7.60","92.40","471"
"2021-2022","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","73","126","29","199","228","32.02","55.26","12.72","87.28","464"
"2021-2022","3","Alleghany County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","8","64","42","72","114","7.02","56.14","36.84","63.16","408"
"2021-2022","3","Alleghany County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","9","62","41","71","112","8.04","55.36","36.61","63.39","413"
"2021-2022","3","Alleghany County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","7","78","22","85","107","6.54","72.90","20.56","79.44","430"
"2021-2022","3","Alleghany County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","5","62","38","67","105","4.76","59.05","36.19","63.81","399"
"2021-2022","3","Alleghany County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","5","90","37","95","132","3.79","68.18","28.03","71.97","415"
"2021-2022","3","Alleghany County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","3","78","31","81","112","2.68","69.64","27.68","72.32","407"
"2021-2022","4","Amelia County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","5","29","29","34","63","7.94","46.03","46.03","53.97","409"
"2021-2022","4","Amelia County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","3","49","29","52","81","3.70","60.49","35.80","64.20","411"
"2021-2022","4","Amelia County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","1","42","22","43","65","1.54","64.62","33.85","66.15","414"
"2021-2022","4","Amelia County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","12","56","16","68","84","14.29","66.67","19.05","80.95","435"
"2021-2022","4","Amelia County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","3","51","19","54","73","4.11","69.86","26.03","73.97","421"
"2021-2022","4","Amelia County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","8","63","32","71","103","7.77","61.17","31.07","68.93","419"
"2021-2022","5","Amherst County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","17","100","81","117","198","8.59","50.51","40.91","59.09","411"
"2021-2022","5","Amherst County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","15","101","56","116","172","8.72","58.72","32.56","67.44","421"
"2021-2022","5","Amherst County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","7","110","63","117","180","3.89","61.11","35.00","65.00","409"
"2021-2022","5","Amherst County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","14","109","57","123","180","7.78","60.56","31.67","68.33","417"
"2021-2022","5","Amherst County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","8","109","66","117","183","4.37","59.56","36.07","63.93","405"
"2021-2022","5","Amherst County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","14","111","81","125","206","6.80","53.88","39.32","60.68","409"
"2021-2022","6","Appomattox County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","20","71","23","91","114","17.54","62.28","20.18","79.82","442"
"2021-2022","6","Appomattox County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","13","70","26","83","109","11.93","64.22","23.85","76.15","432"
"2021-2022","6","Appomattox County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","15","77","21","92","113","13.27","68.14","18.58","81.42","441"
"2021-2022","6","Appomattox County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","14","70","14","84","98","14.29","71.43","14.29","85.71","442"
