"School Year","Division Number","Division Name","Subject","Race","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","Grade 3","SOL","English Reading","16","60","33","76","109","14.68","55.05","30.28","69.72","428"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","Grade 4","SOL","English Reading","24","75","33","99","132","18.18","56.82","25.00","75.00","437"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","Grade 5","SOL","English Reading","32","77","28","109","137","23.36","56.20","20.44","79.56","444"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","Grade 6","SOL","English Reading","21","80","28","101","129","16.28","62.02","21.71","78.29","442"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","Grade 7","SOL","English Reading","30","103","42","133","175","17.14","58.86","24.00","76.00","435"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","Grade 8","SOL","English Reading","9","78","75","87","162","5.56","48.15","46.30","53.70","402"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","Grade 3","SOL","English Reading","14","42","29","56","85","16.47","49.41","34.12","65.88","425"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","Grade 4","SOL","English Reading","18","56","26","74","100","18.00","56.00","26.00","74.00","430"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","Grade 5","SOL","English Reading","30","61","21","91","112","26.79","54.46","18.75","81.25","448"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","Grade 6","SOL","English Reading","29","57","38","86","124","23.39","45.97","30.65","69.35","440"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","Grade 7","SOL","English Reading","29","64","36","93","129","22.48","49.61","27.91","72.09","432"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","Grade 8","SOL","English Reading","24","55","38","79","117","20.51","47.01","32.48","67.52","430"
"2005-2006","101","Alexandria City","English:Reading","Black, not of Hispanic origin","Grade 3","SOL","English Reading","79","156","72","235","307","25.73","50.81","23.45","76.55","443"
"2005-2006","101","Alexandria City","English:Reading","Black, not of Hispanic origin","Grade 4","SOL","English Reading","73","178","80","251","331","22.05","53.78","24.17","75.83","440"
"2005-2006","101","Alexandria City","English:Reading","Black, not of Hispanic origin","Grade 5","SOL","English Reading","88","165","69","253","322","27.33","51.24","21.43","78.57","453"
"2005-2006","101","Alexandria City","English:Reading","Black, not of Hispanic origin","Grade 6","SOL","English Reading","67","176","70","243","313","21.41","56.23","22.36","77.64","444"
"2005-2006","101","Alexandria City","English:Reading","Black, not of Hispanic origin","Grade 7","SOL","English Reading","66","177","90","243","333","19.82","53.15","27.03","72.97","436"
"2005-2006","101","Alexandria City","English:Reading","Black, not of Hispanic origin","Grade 8","SOL","English Reading","26","152","100","178","278","9.35","54.68","35.97","64.03","415"
"2005-2006","3","Alleghany County","English:Reading","Black, not of Hispanic origin","Grade 3","SOL","English Reading","3","9","2","12","14","21.43","64.29","14.29","85.71","449"
"2005-2006","3","Alleghany County","English:Reading","Black, not of Hispanic origin","Grade 4","SOL","English Reading","1","6","5","7","12","8.33","50.00","41.67","58.33","417"
