School Year,Division Number,Division Name,Subject,Race,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County,Mathematics,"Black, not of Hispanic origin",Grade 3,SOL,Mathematics,35,63,12,98,110,31.82,57.27,10.91,89.09,465
2005-2006,1,Accomack County,Mathematics,"Black, not of Hispanic origin",Grade 4,SOL,Mathematics,25,76,32,101,133,18.8,57.14,24.06,75.94,441
2005-2006,1,Accomack County,Mathematics,"Black, not of Hispanic origin",Grade 5,SOL,Mathematics,48,56,38,104,142,33.8,39.44,26.76,73.24,454
2005-2006,1,Accomack County,Mathematics,"Black, not of Hispanic origin",Grade 6,SOL,Mathematics,5,50,77,55,132,3.79,37.88,58.33,41.67,379
2005-2006,1,Accomack County,Mathematics,"Black, not of Hispanic origin",Grade 7,SOL,Mathematics,7,48,121,55,176,3.98,27.27,68.75,31.25,366
2005-2006,1,Accomack County,Mathematics,"Black, not of Hispanic origin",Grade 8,SOL,Mathematics,26,79,67,105,172,15.12,45.93,38.95,61.05,414
2005-2006,2,Albemarle County,Mathematics,"Black, not of Hispanic origin",Grade 3,SOL,Mathematics,23,41,19,64,83,27.71,49.4,22.89,77.11,446
2005-2006,2,Albemarle County,Mathematics,"Black, not of Hispanic origin",Grade 4,SOL,Mathematics,9,43,44,52,96,9.38,44.79,45.83,54.17,404
2005-2006,2,Albemarle County,Mathematics,"Black, not of Hispanic origin",Grade 5,SOL,Mathematics,25,42,43,67,110,22.73,38.18,39.09,60.91,420
2005-2006,2,Albemarle County,Mathematics,"Black, not of Hispanic origin",Grade 6,SOL,Mathematics,4,31,80,35,115,3.48,26.96,69.57,30.43,357
2005-2006,2,Albemarle County,Mathematics,"Black, not of Hispanic origin",Grade 7,SOL,Mathematics,1,21,81,22,103,0.97,20.39,78.64,21.36,338
2005-2006,2,Albemarle County,Mathematics,"Black, not of Hispanic origin",Grade 8,SOL,Mathematics,32,64,52,96,148,21.62,43.24,35.14,64.86,433
