"School Year","Division Number","Division Name","Subject","Race","Gender","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","F","Grade 3","SOL","English Reading","5","30","12","35","47","10.64","63.83","25.53","74.47","430"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","F","Grade 4","SOL","English Reading","13","35","20","48","68","19.12","51.47","29.41","70.59","430"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","F","Grade 5","SOL","English Reading","18","46","15","64","79","22.78","58.23","18.99","81.01","445"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","F","Grade 6","SOL","English Reading","9","41","14","50","64","14.06","64.06","21.88","78.13","441"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","F","Grade 7","SOL","English Reading","11","61","13","72","85","12.94","71.76","15.29","84.71","442"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","F","Grade 8","SOL","English Reading","3","53","36","56","92","3.26","57.61","39.13","60.87","409"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","M","Grade 3","SOL","English Reading","11","29","21","40","61","18.03","47.54","34.43","65.57","427"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","M","Grade 4","SOL","English Reading","11","40","13","51","64","17.19","62.50","20.31","79.69","444"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","M","Grade 5","SOL","English Reading","14","31","13","45","58","24.14","53.45","22.41","77.59","444"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","M","Grade 6","SOL","English Reading","12","39","14","51","65","18.46","60.00","21.54","78.46","444"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","M","Grade 7","SOL","English Reading","19","42","29","61","90","21.11","46.67","32.22","67.78","429"
"2005-2006","1","Accomack County","English:Reading","Black, not of Hispanic origin","M","Grade 8","SOL","English Reading","6","25","39","31","70","8.57","35.71","55.71","44.29","393"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","F","Grade 3","SOL","English Reading","5","28","14","33","47","10.64","59.57","29.79","70.21","428"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","F","Grade 4","SOL","English Reading","7","35","12","42","54","12.96","64.81","22.22","77.78","430"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","F","Grade 5","SOL","English Reading","18","28","5","46","51","35.29","54.90","9.80","90.20","461"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","F","Grade 6","SOL","English Reading","17","29","17","46","63","26.98","46.03","26.98","73.02","449"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","F","Grade 7","SOL","English Reading","17","40","11","57","68","25.00","58.82","16.18","83.82","448"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","F","Grade 8","SOL","English Reading","15","34","17","49","66","22.73","51.52","25.76","74.24","441"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","M","Grade 3","SOL","English Reading","9","14","15","23","38","23.68","36.84","39.47","60.53","422"
"2005-2006","2","Albemarle County","English:Reading","Black, not of Hispanic origin","M","Grade 4","SOL","English Reading","11","21","14","32","46","23.91","45.65","30.43","69.57","429"
