"School Year","Division Number","Division Name","Subject","English Learner","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","1","Accomack County","English:Reading","N","Grade 3","SOL","English Reading","78","137","51","215","266","29.32","51.50","19.17","80.83","457"
"2005-2006","1","Accomack County","English:Reading","N","Grade 4","SOL","English Reading","100","148","52","248","300","33.33","49.33","17.33","82.67","462"
"2005-2006","1","Accomack County","English:Reading","N","Grade 5","SOL","English Reading","108","144","38","252","290","37.24","49.66","13.10","86.90","472"
"2005-2006","1","Accomack County","English:Reading","N","Grade 6","SOL","English Reading","99","155","42","254","296","33.45","52.36","14.19","85.81","468"
"2005-2006","1","Accomack County","English:Reading","N","Grade 7","SOL","English Reading","116","184","51","300","351","33.05","52.42","14.53","85.47","463"
"2005-2006","1","Accomack County","English:Reading","N","Grade 8","SOL","English Reading","64","190","102","254","356","17.98","53.37","28.65","71.35","434"
"2005-2006","1","Accomack County","English:Reading","Y","Grade 3","SOL","English Reading","8","14","3","22","25","32.00","56.00","12.00","88.00","477"
"2005-2006","1","Accomack County","English:Reading","Y","Grade 4","SOL","English Reading","10","16","2","26","28","35.71","57.14","7.14","92.86","482"
"2005-2006","1","Accomack County","English:Reading","Y","Grade 5","SOL","English Reading","5","17","1","22","23","21.74","73.91","4.35","95.65","476"
"2005-2006","1","Accomack County","English:Reading","Y","Grade 6","SOL","English Reading","1","12","2","13","15","6.67","80.00","13.33","86.67","440"
"2005-2006","1","Accomack County","English:Reading","Y","Grade 7","SOL","English Reading","3","15","3","18","21","14.29","71.43","14.29","85.71","445"
"2005-2006","1","Accomack County","English:Reading","Y","Grade 8","SOL","English Reading","0","10","3","10","13",".00","76.92","23.08","76.92","413"
"2005-2006","2","Albemarle County","English:Reading","N","Grade 3","SOL","English Reading","363","311","94","674","768","47.27","40.49","12.24","87.76","484"
"2005-2006","2","Albemarle County","English:Reading","N","Grade 4","SOL","English Reading","421","316","55","737","792","53.16","39.90","6.94","93.06","495"
"2005-2006","2","Albemarle County","English:Reading","N","Grade 5","SOL","English Reading","472","284","56","756","812","58.13","34.98","6.90","93.10","503"
"2005-2006","2","Albemarle County","English:Reading","N","Grade 6","SOL","English Reading","472","318","92","790","882","53.51","36.05","10.43","89.57","497"
"2005-2006","2","Albemarle County","English:Reading","N","Grade 7","SOL","English Reading","467","328","97","795","892","52.35","36.77","10.87","89.13","492"
