"School Year","Division Number","Division Name","Subject","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","1","Accomack County","English:Reading","Grade 3","SOL","English Reading","86","151","54","237","291","29.55","51.89","18.56","81.44","459"
"2005-2006","2","Albemarle County","English:Reading","Grade 3","SOL","English Reading","389","343","101","732","833","46.70","41.18","12.12","87.88","483"
"2005-2006","101","Alexandria City","English:Reading","Grade 3","SOL","English Reading","269","305","135","574","709","37.94","43.02","19.04","80.96","465"
"2005-2006","3","Alleghany County","English:Reading","Grade 3","SOL","English Reading","87","108","29","195","224","38.84","48.21","12.95","87.05","471"
"2005-2006","4","Amelia County","English:Reading","Grade 3","SOL","English Reading","39","70","16","109","125","31.20","56.00","12.80","87.20","467"
"2005-2006","5","Amherst County","English:Reading","Grade 3","SOL","English Reading","145","133","45","278","323","44.89","41.18","13.93","86.07","475"
"2005-2006","6","Appomattox County","English:Reading","Grade 3","SOL","English Reading","87","73","10","160","170","51.18","42.94","5.88","94.12","492"
"2005-2006","7","Arlington County","English:Reading","Grade 3","SOL","English Reading","555","500","149","1,055","1,204","46.10","41.53","12.38","87.62","485"
"2005-2006","8","Augusta County","English:Reading","Grade 3","SOL","English Reading","308","332","106","640","746","41.29","44.50","14.21","85.79","475"
"2005-2006","9","Bath County","English:Reading","Grade 3","SOL","English Reading","13","22","4","35","39","33.33","56.41","10.26","89.74","472"
"2005-2006","10","Bedford County","English:Reading","Grade 3","SOL","English Reading","278","381","150","659","809","34.36","47.10","18.54","81.46","463"
"2005-2006","11","Bland County","English:Reading","Grade 3","SOL","English Reading","20","37","8","57","65","30.77","56.92","12.31","87.69","463"
"2005-2006","12","Botetourt County","English:Reading","Grade 3","SOL","English Reading","145","157","27","302","329","44.07","47.72","8.21","91.79","485"
"2005-2006","102","Bristol City","English:Reading","Grade 3","SOL","English Reading","57","63","30","120","150","38.00","42.00","20.00","80.00","463"
"2005-2006","13","Brunswick County","English:Reading","Grade 3","SOL","English Reading","36","81","49","117","166","21.69","48.80","29.52","70.48","434"
"2005-2006","14","Buchanan County","English:Reading","Grade 3","SOL","English Reading","83","101","55","184","239","34.73","42.26","23.01","76.99","457"
"2005-2006","15","Buckingham County","English:Reading","Grade 3","SOL","English Reading","43","70","23","113","136","31.62","51.47","16.91","83.09","456"
"2005-2006","103","Buena Vista City","English:Reading","Grade 3","SOL","English Reading","32","50","11","82","93","34.41","53.76","11.83","88.17","468"
"2005-2006","16","Campbell County","English:Reading","Grade 3","SOL","English Reading","206","275","103","481","584","35.27","47.09","17.64","82.36","463"
"2005-2006","17","Caroline County","English:Reading","Grade 3","SOL","English Reading","81","141","62","222","284","28.52","49.65","21.83","78.17","455"
"2005-2006","18","Carroll County","English:Reading","Grade 3","SOL","English Reading","110","146","42","256","298","36.91","48.99","14.09","85.91","468"
"2005-2006","19","Charles City County","English:Reading","Grade 3","SOL","English Reading","18","24","20","42","62","29.03","38.71","32.26","67.74","439"
"2005-2006","20","Charlotte County","English:Reading","Grade 3","SOL","English Reading","71","72","7","143","150","47.33","48.00","4.67","95.33","490"
"2005-2006","104","Charlottesville City","English:Reading","Grade 3","SOL","English Reading","119","99","63","218","281","42.35","35.23","22.42","77.58","469"
"2005-2006","136","Chesapeake City","English:Reading","Grade 3","SOL","English Reading","1,060","1,200","374","2,260","2,634","40.24","45.56","14.20","85.80","474"
"2005-2006","21","Chesterfield County","English:Reading","Grade 3","SOL","English Reading","1,691","1,749","457","3,440","3,897","43.39","44.88","11.73","88.27","480"
"2005-2006","22","Clarke County","English:Reading","Grade 3","SOL","English Reading","65","57","21","122","143","45.45","39.86","14.69","85.31","475"
"2005-2006","202","Colonial Beach","English:Reading","Grade 3","SOL","English Reading","11","24","7","35","42","26.19","57.14","16.67","83.33","460"
"2005-2006","106","Colonial Heights City","English:Reading","Grade 3","SOL","English Reading","86","100","17","186","203","42.36","49.26","8.37","91.63","480"
"2005-2006","107","Covington City","English:Reading","Grade 3","SOL","English Reading","28","17","11","45","56","50.00","30.36","19.64","80.36","484"
"2005-2006","23","Craig County","English:Reading","Grade 3","SOL","English Reading","21","22","6","43","49","42.86","44.90","12.24","87.76","481"
"2005-2006","24","Culpeper County","English:Reading","Grade 3","SOL","English Reading","209","214","74","423","497","42.05","43.06","14.89","85.11","474"
"2005-2006","25","Cumberland County","English:Reading","Grade 3","SOL","English Reading","28","36","31","64","95","29.47","37.89","32.63","67.37","448"
"2005-2006","108","Danville City","English:Reading","Grade 3","SOL","English Reading","144","230","73","374","447","32.21","51.45","16.33","83.67","459"
"2005-2006","26","Dickenson County","English:Reading","Grade 3","SOL","English Reading","59","81","25","140","165","35.76","49.09","15.15","84.85","463"
"2005-2006","27","Dinwiddie County","English:Reading","Grade 3","SOL","English Reading","124","140","46","264","310","40.00","45.16","14.84","85.16","474"
"2005-2006","28","Essex County","English:Reading","Grade 3","SOL","English Reading","26","40","36","66","102","25.49","39.22","35.29","64.71","432"
"2005-2006","29","Fairfax County","English:Reading","Grade 3","SOL","English Reading","4,667","4,688","1,267","9,355","10,622","43.94","44.13","11.93","88.07","480"
"2005-2006","109","Falls Church City","English:Reading","Grade 3","SOL","English Reading","64","49","8","113","121","52.89","40.50","6.61","93.39","505"
"2005-2006","30","Fauquier County","English:Reading","Grade 3","SOL","English Reading","372","294","114","666","780","47.69","37.69","14.62","85.38","483"
"2005-2006","31","Floyd County","English:Reading","Grade 3","SOL","English Reading","59","66","16","125","141","41.84","46.81","11.35","88.65","475"
"2005-2006","32","Fluvanna County","English:Reading","Grade 3","SOL","English Reading","93","121","63","214","277","33.57","43.68","22.74","77.26","457"
"2005-2006","135","Franklin City","English:Reading","Grade 3","SOL","English Reading","20","38","23","58","81","24.69","46.91","28.40","71.60","439"
"2005-2006","33","Franklin County","English:Reading","Grade 3","SOL","English Reading","221","243","40","464","504","43.85","48.21","7.94","92.06","487"
"2005-2006","34","Frederick County","English:Reading","Grade 3","SOL","English Reading","346","375","130","721","851","40.66","44.07","15.28","84.72","475"
"2005-2006","110","Fredericksburg City","English:Reading","Grade 3","SOL","English Reading","52","47","48","99","147","35.37","31.97","32.65","67.35","448"
"2005-2006","111","Galax City","English:Reading","Grade 3","SOL","English Reading","51","37","12","88","100","51.00","37.00","12.00","88.00","490"
"2005-2006","35","Giles County","English:Reading","Grade 3","SOL","English Reading","82","88","20","170","190","43.16","46.32","10.53","89.47","478"
"2005-2006","36","Gloucester County","English:Reading","Grade 3","SOL","English Reading","162","180","58","342","400","40.50","45.00","14.50","85.50","474"
"2005-2006","37","Goochland County","English:Reading","Grade 3","SOL","English Reading","72","58","11","130","141","51.06","41.13","7.80","92.20","499"
"2005-2006","38","Grayson County","English:Reading","Grade 3","SOL","English Reading","55","77","27","132","159","34.59","48.43","16.98","83.02","465"
"2005-2006","39","Greene County","English:Reading","Grade 3","SOL","English Reading","68","100","44","168","212","32.08","47.17","20.75","79.25","457"
"2005-2006","40","Greensville County","English:Reading","Grade 3","SOL","English Reading","37","90","44","127","171","21.64","52.63","25.73","74.27","440"
"2005-2006","41","Halifax County","English:Reading","Grade 3","SOL","English Reading","129","163","93","292","385","33.51","42.34","24.16","75.84","456"
"2005-2006","112","Hampton City","English:Reading","Grade 3","SOL","English Reading","453","751","360","1,204","1,564","28.96","48.02","23.02","76.98","451"
"2005-2006","42","Hanover County","English:Reading","Grade 3","SOL","English Reading","652","502","166","1,154","1,320","49.39","38.03","12.58","87.42","488"
"2005-2006","113","Harrisonburg City","English:Reading","Grade 3","SOL","English Reading","91","110","37","201","238","38.24","46.22","15.55","84.45","476"
"2005-2006","43","Henrico County","English:Reading","Grade 3","SOL","English Reading","1,435","1,328","462","2,763","3,225","44.50","41.18","14.33","85.67","480"
"2005-2006","44","Henry County","English:Reading","Grade 3","SOL","English Reading","161","233","91","394","485","33.20","48.04","18.76","81.24","461"
"2005-2006","45","Highland County","English:Reading","Grade 3","SOL","English Reading","3","12","5","15","20","15.00","60.00","25.00","75.00","439"
"2005-2006","114","Hopewell City","English:Reading","Grade 3","SOL","English Reading","79","156","52","235","287","27.53","54.36","18.12","81.88","455"
"2005-2006","46","Isle of Wight County","English:Reading","Grade 3","SOL","English Reading","141","187","50","328","378","37.30","49.47","13.23","86.77","473"
"2005-2006","48","King George County","English:Reading","Grade 3","SOL","English Reading","90","116","51","206","257","35.02","45.14","19.84","80.16","459"
"2005-2006","50","King William County","English:Reading","Grade 3","SOL","English Reading","41","72","28","113","141","29.08","51.06","19.86","80.14","453"
"2005-2006","49","King and Queen County","English:Reading","Grade 3","SOL","English Reading","18","23","17","41","58","31.03","39.66","29.31","70.69","451"
"2005-2006","51","Lancaster County","English:Reading","Grade 3","SOL","English Reading","29","32","20","61","81","35.80","39.51","24.69","75.31","466"
"2005-2006","52","Lee County","English:Reading","Grade 3","SOL","English Reading","108","122","24","230","254","42.52","48.03","9.45","90.55","481"
"2005-2006","137","Lexington City","English:Reading","Grade 3","SOL","English Reading","31","12","5","43","48","64.58","25.00","10.42","89.58","507"
"2005-2006","53","Loudoun County","English:Reading","Grade 3","SOL","English Reading","1,840","1,392","456","3,232","3,688","49.89","37.74","12.36","87.64","488"
"2005-2006","54","Louisa County","English:Reading","Grade 3","SOL","English Reading","96","137","51","233","284","33.80","48.24","17.96","82.04","464"
"2005-2006","55","Lunenburg County","English:Reading","Grade 3","SOL","English Reading","33","52","29","85","114","28.95","45.61","25.44","74.56","447"
"2005-2006","115","Lynchburg City","English:Reading","Grade 3","SOL","English Reading","215","288","76","503","579","37.13","49.74","13.13","86.87","471"
