test_year,division_name,level,rate,demographic,dif,max_rate,rank,division_use
2022,Charlottesville City,black,0.16397067388738057,Race,0.5785010125257275,0.742471686413108,1,charlottesville_city
2022,Charlottesville City,white,0.742471686413108,Race,0.5785010125257275,0.742471686413108,1,charlottesville_city
2023,Charlottesville City,black,0.2456743610999776,Race,0.5491280682236765,0.7948024293236542,1,charlottesville_city
2023,Charlottesville City,white,0.7948024293236542,Race,0.5491280682236765,0.7948024293236542,1,charlottesville_city
2023,Scott County,black,0.21471906988825631,Race,0.5223458604559982,0.7370649303442545,2,scott_county
2023,Scott County,white,0.7370649303442545,Race,0.5223458604559982,0.7370649303442545,2,scott_county
2021,Charlottesville City,black,0.10548818602405252,Race,0.5120716559749653,0.6175598419990178,1,charlottesville_city
2021,Charlottesville City,white,0.6175598419990178,Race,0.5120716559749653,0.6175598419990178,1,charlottesville_city
2022,Richmond City,black,0.2395871442670851,Race,0.5026127302533328,0.7421998745204179,2,richmond_city
2022,Richmond City,white,0.7421998745204179,Race,0.5026127302533328,0.7421998745204179,2,richmond_city
2021,Albemarle County,disadvantaged,0.274291520634579,Socioeconomic Status,0.4930650900117564,0.7673566106463354,1,albemarle_county
2021,Albemarle County,other,0.7673566106463354,Socioeconomic Status,0.4930650900117564,0.7673566106463354,1,albemarle_county
2021,Richmond City,black,0.08638886537848438,Race,0.4846873770200763,0.5710762423985607,2,richmond_city
2021,Richmond City,white,0.5710762423985607,Race,0.4846873770200763,0.5710762423985607,2,richmond_city
2021,Charlottesville City,disadvantaged,0.1767717948119946,Socioeconomic Status,0.47017215022053427,0.6469439450325288,2,charlottesville_city
2021,Charlottesville City,other,0.6469439450325288,Socioeconomic Status,0.47017215022053427,0.6469439450325288,2,charlottesville_city
2021,Arlington County,hispanic,0.310942797405603,Ethnicity,0.46992425369093765,0.7808670510965406,1,arlington_county
2021,Arlington County,white,0.7808670510965406,Ethnicity,0.46992425369093765,0.7808670510965406,1,arlington_county
2023,Richmond City,black,0.2832211816607724,Race,0.46826898674955203,0.7514901684103245,3,richmond_city
2023,Richmond City,white,0.7514901684103245,Race,0.46826898674955203,0.7514901684103245,3,richmond_city
2021,Arlington County,disadvantaged,0.2896537501983576,Socioeconomic Status,0.4674973262180345,0.7571510764163921,3,arlington_county
2021,Arlington County,other,0.7571510764163921,Socioeconomic Status,0.4674973262180345,0.7571510764163921,3,arlington_county
2021,Alexandria City,hispanic,0.16208739663819816,Ethnicity,0.46746516090704027,0.6295525575452384,2,alexandria_city
2021,Alexandria City,white,0.6295525575452384,Ethnicity,0.46746516090704027,0.6295525575452384,2,alexandria_city
2023,Charlottesville City,disadvantaged,0.32223495641690475,Socioeconomic Status,0.4636203049554914,0.7858552613723961,1,charlottesville_city
2023,Charlottesville City,other,0.7858552613723961,Socioeconomic Status,0.4636203049554914,0.7858552613723961,1,charlottesville_city
2021,Fairfax County,disadvantaged,0.27512430427391,Socioeconomic Status,0.44971988753921444,0.7248441918131244,4,fairfax_county
2021,Fairfax County,other,0.7248441918131244,Socioeconomic Status,0.44971988753921444,0.7248441918131244,4,fairfax_county
2021,Fairfax County,hispanic,0.26502793455833684,Ethnicity,0.43911771624192364,0.7041456508002605,3,fairfax_county
2021,Fairfax County,white,0.7041456508002605,Ethnicity,0.43911771624192364,0.7041456508002605,3,fairfax_county
2022,Richmond City,hispanic,0.3128993698902039,Ethnicity,0.4327862914707011,0.745685661360905,1,richmond_city
2022,Richmond City,white,0.745685661360905,Ethnicity,0.4327862914707011,0.745685661360905,1,richmond_city
2021,Lynchburg City,black,0.13317920857683482,Race,0.4311128446297735,0.5642920532066084,3,lynchburg_city
2021,Lynchburg City,white,0.5642920532066084,Race,0.4311128446297735,0.5642920532066084,3,lynchburg_city
2012,Alexandria City,black,0.3780101293686215,Race,0.43096162031306945,0.8089717496816909,1,alexandria_city
2012,Alexandria City,white,0.8089717496816909,Race,0.43096162031306945,0.8089717496816909,1,alexandria_city
2021,Albemarle County,hispanic,0.29604662163111584,Ethnicity,0.43059243339044095,0.7266390550215568,4,albemarle_county
2021,Albemarle County,white,0.7266390550215568,Ethnicity,0.43059243339044095,0.7266390550215568,4,albemarle_county
2022,Alexandria City,hispanic,0.3142891453585537,Ethnicity,0.43028269733442603,0.7445718426929797,2,alexandria_city
2022,Alexandria City,white,0.7445718426929797,Ethnicity,0.43028269733442603,0.7445718426929797,2,alexandria_city
2023,Albemarle County,black,0.33649345099351236,Race,0.42932085723377855,0.7658143082272909,4,albemarle_county
2023,Albemarle County,white,0.7658143082272909,Race,0.42932085723377855,0.7658143082272909,4,albemarle_county
2021,Albemarle County,black,0.2985193216504302,Race,0.4270871277166825,0.7256064493671127,4,albemarle_county
2021,Albemarle County,white,0.7256064493671127,Race,0.4270871277166825,0.7256064493671127,4,albemarle_county
2022,Arlington County,hispanic,0.4465309604500715,Ethnicity,0.4256687995153226,0.8721997599653941,3,arlington_county
2022,Arlington County,white,0.8721997599653941,Ethnicity,0.4256687995153226,0.8721997599653941,3,arlington_county
2021,Alexandria City,disadvantaged,0.17886838927328727,Socioeconomic Status,0.4248008896457237,0.603669278919011,5,alexandria_city
2021,Alexandria City,other,0.603669278919011,Socioeconomic Status,0.4248008896457237,0.603669278919011,5,alexandria_city
2022,Albemarle County,black,0.311043755142429,Race,0.4190770132518301,0.7301207683942591,3,albemarle_county
2022,Albemarle County,white,0.7301207683942591,Race,0.4190770132518301,0.7301207683942591,3,albemarle_county
2023,Albemarle County,disadvantaged,0.3669614315168265,Socioeconomic Status,0.41791470893489713,0.7848761404517236,2,albemarle_county
2023,Albemarle County,other,0.7848761404517236,Socioeconomic Status,0.41791470893489713,0.7848761404517236,2,albemarle_county
2021,Loudoun County,disadvantaged,0.28009568048648265,Socioeconomic Status,0.4143027321231137,0.6943984126095963,6,loudoun_county
2021,Loudoun County,other,0.6943984126095963,Socioeconomic Status,0.4143027321231137,0.6943984126095963,6,loudoun_county
2014,Franklin City,black,0.384791627713707,Race,0.41366495497071987,0.7984565826844269,1,franklin_city
2014,Franklin City,white,0.7984565826844269,Race,0.41366495497071987,0.7984565826844269,1,franklin_city
2021,Richmond City,hispanic,0.17283466567317488,Ethnicity,0.4134596000924611,0.5862942657656359,5,richmond_city
2021,Richmond City,white,0.5862942657656359,Ethnicity,0.4134596000924611,0.5862942657656359,5,richmond_city
2019,Charlottesville City,black,0.451844037318856,Race,0.4118831141195682,0.8637271514384242,1,charlottesville_city
2019,Charlottesville City,white,0.8637271514384242,Race,0.4118831141195682,0.8637271514384242,1,charlottesville_city
2012,Franklin City,black,0.3473301737232151,Race,0.40641086188602255,0.7537410356092377,2,franklin_city
2012,Franklin City,white,0.7537410356092377,Race,0.40641086188602255,0.7537410356092377,2,franklin_city
2023,Alexandria City,hispanic,0.3635803808983608,Ethnicity,0.40548198571748156,0.7690623666158424,1,alexandria_city
2023,Alexandria City,white,0.7690623666158424,Ethnicity,0.40548198571748156,0.7690623666158424,1,alexandria_city
2021,Williamsburg-James City County,disadvantaged,0.3166652374352408,Socioeconomic Status,0.4032371677116403,0.7199024051468811,7,williamsburg-james_city_county
2021,Williamsburg-James City County,other,0.7199024051468811,Socioeconomic Status,0.4032371677116403,0.7199024051468811,7,williamsburg-james_city_county
2022,Arlington County,disadvantaged,0.4349964902750423,Socioeconomic Status,0.4022378231609197,0.837234313435962,1,arlington_county
2022,Arlington County,other,0.837234313435962,Socioeconomic Status,0.4022378231609197,0.837234313435962,1,arlington_county
2012,Alexandria City,hispanic,0.4073025086765865,Ethnicity,0.4016094387114865,0.808911947388073,1,alexandria_city
2012,Alexandria City,white,0.808911947388073,Ethnicity,0.4016094387114865,0.808911947388073,1,alexandria_city
2023,Lynchburg City,black,0.2898774532019846,Race,0.3988456206231657,0.6887230738251503,5,lynchburg_city
2023,Lynchburg City,white,0.6887230738251503,Race,0.3988456206231657,0.6887230738251503,5,lynchburg_city
2022,Lynchburg City,black,0.2779879540856138,Race,0.3973232179439972,0.675311172029611,4,lynchburg_city
2022,Lynchburg City,white,0.675311172029611,Race,0.3973232179439972,0.675311172029611,4,lynchburg_city
2023,Richmond City,hispanic,0.35691972253424775,Ethnicity,0.3962638923405323,0.75318361487478,2,richmond_city
2023,Richmond City,white,0.75318361487478,Ethnicity,0.3962638923405323,0.75318361487478,2,richmond_city
2022,Charlottesville City,disadvantaged,0.28669250270691304,Socioeconomic Status,0.3943396338394446,0.6810321365463576,2,charlottesville_city
2022,Charlottesville City,other,0.6810321365463576,Socioeconomic Status,0.3943396338394446,0.6810321365463576,2,charlottesville_city
2023,Arlington County,hispanic,0.5161653046297738,Ethnicity,0.3871046584819222,0.903269963111696,3,arlington_county
2023,Arlington County,white,0.903269963111696,Ethnicity,0.3871046584819222,0.903269963111696,3,arlington_county
2013,Franklin City,black,0.3365342678932947,Race,0.38671970004637074,0.7232539679396655,1,franklin_city
2013,Franklin City,white,0.7232539679396655,Race,0.38671970004637074,0.7232539679396655,1,franklin_city
2022,Albemarle County,disadvantaged,0.3524426191440967,Socioeconomic Status,0.38540319885392993,0.7378458179980266,3,albemarle_county
2022,Albemarle County,other,0.7378458179980266,Socioeconomic Status,0.38540319885392993,0.7378458179980266,3,albemarle_county
2022,Charlottesville City,hispanic,0.3656704924336191,Ethnicity,0.3847012470023267,0.7503717394359458,4,charlottesville_city
2022,Charlottesville City,white,0.7503717394359458,Ethnicity,0.3847012470023267,0.7503717394359458,4,charlottesville_city
2021,Williamsburg-James City County,black,0.31484698838568415,Race,0.38288714293086445,0.6977341313165486,5,williamsburg-james_city_county
2021,Williamsburg-James City County,white,0.6977341313165486,Race,0.38288714293086445,0.6977341313165486,5,williamsburg-james_city_county
2021,Alexandria City,black,0.2472737401933475,Race,0.38242990101160645,0.6297036412049539,6,alexandria_city
2021,Alexandria City,white,0.6297036412049539,Race,0.38242990101160645,0.6297036412049539,6,alexandria_city
2021,Arlington County,black,0.39995625397643014,Race,0.3808000937624754,0.7807563477389056,7,arlington_county
2021,Arlington County,white,0.7807563477389056,Race,0.3808000937624754,0.7807563477389056,7,arlington_county
2018,Charlottesville City,black,0.4590343908621404,Race,0.3792811596551334,0.8383155505172738,1,charlottesville_city
2018,Charlottesville City,white,0.8383155505172738,Race,0.3792811596551334,0.8383155505172738,1,charlottesville_city
2021,Charlottesville City,hispanic,0.25399704962723674,Ethnicity,0.3782770581306109,0.6322741077578476,6,charlottesville_city
2021,Charlottesville City,white,0.6322741077578476,Ethnicity,0.3782770581306109,0.6322741077578476,6,charlottesville_city
2021,Virginia Beach City,black,0.361954173004588,Race,0.37804578574970793,0.7399999587542959,8,virginia_beach_city
2021,Virginia Beach City,white,0.7399999587542959,Race,0.37804578574970793,0.7399999587542959,8,virginia_beach_city
2022,Henrico County,black,0.3240921337679491,Race,0.3775418708098357,0.7016340045777848,5,henrico_county
2022,Henrico County,white,0.7016340045777848,Race,0.3775418708098357,0.7016340045777848,5,henrico_county
2022,Williamsburg-James City County,black,0.4449553334510816,Race,0.3758923165844893,0.8208476500355709,6,williamsburg-james_city_county
2022,Williamsburg-James City County,white,0.8208476500355709,Race,0.3758923165844893,0.8208476500355709,6,williamsburg-james_city_county
2022,Arlington County,black,0.49684015913352314,Race,0.3753096404147261,0.8721497995482492,7,arlington_county
2022,Arlington County,white,0.8721497995482492,Race,0.3753096404147261,0.8721497995482492,7,arlington_county
2022,Franklin City,black,0.2210981034533092,Race,0.37445227656690944,0.5955503800202187,8,franklin_city
2022,Franklin City,white,0.5955503800202187,Race,0.37445227656690944,0.5955503800202187,8,franklin_city
2013,Richmond City,black,0.3982907827743724,Race,0.37202874869454455,0.770319531468917,2,richmond_city
2013,Richmond City,white,0.770319531468917,Race,0.37202874869454455,0.770319531468917,2,richmond_city
2021,Henrico County,disadvantaged,0.21814248687221743,Socioeconomic Status,0.37185475755000846,0.5899972444222259,8,henrico_county
2021,Henrico County,other,0.5899972444222259,Socioeconomic Status,0.37185475755000846,0.5899972444222259,8,henrico_county
2023,Franklin City,black,0.1282442162142374,Race,0.37118130526814286,0.49942552148238023,6,franklin_city
2023,Franklin City,white,0.49942552148238023,Race,0.37118130526814286,0.49942552148238023,6,franklin_city
2023,Fairfax County,hispanic,0.4641910383668591,Ethnicity,0.3709792813384008,0.8351703197052599,4,fairfax_county
2023,Fairfax County,white,0.8351703197052599,Ethnicity,0.3709792813384008,0.8351703197052599,4,fairfax_county
2012,Lynchburg City,black,0.3526836358666332,Race,0.3697471866811476,0.7224308225477808,3,lynchburg_city
2012,Lynchburg City,white,0.7224308225477808,Race,0.3697471866811476,0.7224308225477808,3,lynchburg_city
2021,Williamsburg-James City County,hispanic,0.32874154650803455,Ethnicity,0.36941901635759733,0.6981605628656319,7,williamsburg-james_city_county
2021,Williamsburg-James City County,white,0.6981605628656319,Ethnicity,0.36941901635759733,0.6981605628656319,7,williamsburg-james_city_county
2023,Henrico County,black,0.37484427025171346,Race,0.3690125846658841,0.7438568549175976,7,henrico_county
2023,Henrico County,white,0.7438568549175976,Race,0.3690125846658841,0.7438568549175976,7,henrico_county
2022,Fairfax County,hispanic,0.4546608903230274,Ethnicity,0.368190898563767,0.8228517888867944,5,fairfax_county
2022,Fairfax County,white,0.8228517888867944,Ethnicity,0.368190898563767,0.8228517888867944,5,fairfax_county
2012,Richmond City,black,0.4133700412495854,Race,0.3663776504098997,0.7797476916594851,4,richmond_city
